Peak_Label,Weighted_Mean_Theta,Error_Weighted_Mean_Theta
Peak bei 27.91°,13.947780852903508,0.002644070215386828
Peak bei 32.25°,16.09888001133432,0.0017733837740526925
Peak bei 43.72°,21.888231513296,0.011669002727882065
Peak bei 45.89°,22.960072759907195,0.0004343273625386401
Peak bei 54.27°,27.158985950558996,0.017075122179995416
Peak bei 56.96°,28.462375540466724,0.0010813969180770832
Peak bei 66.64°,33.32863580887487,0.004820298461585801
Peak bei 75.69°,37.857132771729404,0.003811017350507985
Peak bei 84.33°,42.18943617107414,0.003023085287701587
Peak bei 84.53°,42.20097630109636,0.0032536970751796475
Peak bei 101.42°,50.743341218011594,0.0051947307864604495
Peak bei 101.71°,50.70422334515307,0.004366664256222694
Peak bei 110.26°,55.19624408980419,0.006709225436609258
Peak bei 110.67°,55.251190489078205,0.2341977586651752
Peak bei 119.66°,59.91117334282052,0.003110339158557615
Peak bei 120.12°,59.82812480060051,0.0032260810910449507
