"θ","sinθ","sc","sqrtsc","bcc","sqrtbcc","fcc","sqrtfcc"
13.955 ± 0.0026,0.24116 ± 4.0e-5,(0, 0, 1),1.0,(0, 1, 1),1.41,(1, 1, 1),1.73
16.125 ± 0.0018,0.277734 ± 3.0e-5,(0, 1, 1),1.41,(0, 0, 2),2.0,(0, 0, 2),2.0
21.86 ± 0.012,0.37234 ± 0.00019,(1, 1, 1),1.73,(1, 1, 2),2.45,(0, 2, 2),2.83
22.945 ± 0.0004,0.389847 ± 7.0e-6,(0, 0, 2),2.0,(0, 2, 2),2.83,(1, 1, 3),3.32
27.135 ± 0.017,0.45609 ± 0.00027,(0, 1, 2),2.24,(0, 1, 3),3.16,(2, 2, 2),3.46
28.48 ± 0.0011,0.476852 ± 1.7e-5,(1, 1, 2),2.45,(2, 2, 2),3.46,(0, 0, 4),4.0
33.32 ± 0.005,0.54931 ± 7.0e-5,(0, 2, 2),2.83,(1, 2, 3),3.74,(1, 3, 3),4.36
37.845 ± 0.004,0.61353 ± 5.0e-5,(0, 0, 3),3.0,(0, 0, 4),4.0,(0, 2, 4),4.47
42.165 ± 0.003,0.67127 ± 4.0e-5,(0, 1, 3),3.16,(0, 3, 3),4.24,(2, 2, 4),4.9
50.71 ± 0.005,0.77395 ± 6.0e-5,(1, 1, 3),3.32,(0, 2, 4),4.47,(1, 1, 5),5.2
55.13 ± 0.007,0.82045 ± 7.0e-5,(2, 2, 2),3.46,(2, 3, 3),4.69,(0, 4, 4),5.66
59.83 ± 0.003,0.864538 ± 2.7e-5,(3, 2, 0),3.61,(4, 2, 2),4.9,(5, 3, 1),5.92
